Nom de la tâche;Compartiment;Progression;Développement;Test;Pilote;Déploiement;Priorité;Assigné à;Date de début;Date d'échéance;Étiquettes;Description
[Cadrage] Cadrage et analyse des besoins (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;Projet;28/08/2026;28/08/2026;Cadrage;Objectifs, périmètre, règles de gestion
[Cadrage] Choix de l'architecture (Next.js + Supabase) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;28/08/2026;Cadrage;Application web + base temps réel
[Sécurité] Authentification et gestion des 3 rôles (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;29/08/2026;Sécurité;Demandeur / Responsable / Administrateur
[Demandes] Module demandes d'achat (assistant 6 étapes) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;29/08/2026;Demandes;Création, brouillon, reprise
[Demandes] Numérotation automatique ACH-AAAA-NNNNN (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;29/08/2026;Demandes;Compteur partagé, sans doublon
[Demandes] Rendre le coût présumé facultatif (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;DSI;28/08/2026;01/09/2026;Demandes;Demande créable sans montant
[Fournisseurs] Catalogue fournisseurs (création, modification, statut) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;30/08/2026;Fournisseurs;Nom, références, emplacement, WhatsApp, site
[Fournisseurs] Import des fournisseurs (Excel, CSV, JSON) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;30/08/2026;Fournisseurs;Aperçu, lignes invalides signalées
[Fournisseurs] Export des fournisseurs et modèles de fichiers (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;DSI;28/08/2026;30/08/2026;Fournisseurs;Excel, JSON, CSV
[Négociation] Grille de négociation article × fournisseur (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;31/08/2026;Négociation;Un prix par article et par fournisseur
[Négociation] Rendre les prix facultatifs (seuil paramétrable) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;02/09/2026;Négociation;Seuil 0 = facultatif
[Négociation] Coût total rendu (remise, TVA, frais de livraison) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;31/08/2026;Négociation;Comparaison fiable des offres
[Comparaison] Score multicritère /100 et classement (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;DSI;28/08/2026;31/08/2026;Négociation;Prix, délai, garantie, paiement
[Comparaison] Tableau croisé et meilleurs prix surlignés (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;31/08/2026;Négociation;Lecture seule, étape non bloquante
[Validation] Circuit de validation (approuver / refuser / modifier) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;01/09/2026;Validation;Motif obligatoire si refus
[Commandes] Bons de commande BC-AAAA-NNNNN et confirmation (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;01/09/2026;Commandes;Lignes aux prix négociés
[Commandes] Commande et impression sans fournisseur ni prix (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;DSI;28/08/2026;02/09/2026;Commandes;Cas des consultations en cours
[Réceptions] Réceptions complètes et partielles (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;01/09/2026;Commandes;Clôture automatique si complète
[Administration] Suppressions (demande, commande, réception, utilisateur) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;01/09/2026;Administration;Cascades et garde-fous
[Alertes] Notifications et relances automatiques (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;02/09/2026;Alertes;Validation et réception, anti-doublon
[Alertes] Bandeau d'alertes et pastilles sur le tableau de bord (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;DSI;28/08/2026;02/09/2026;Alertes;Vue immédiate des retards
[Alertes] Sons de notification (3 niveaux) et volume réglable (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;DSI;28/08/2026;02/09/2026;Alertes;Avec son de secours si bloqué
[Alertes] Alarme répétée jusqu'à lecture du message (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;DSI;28/08/2026;02/09/2026;Alertes;15 s, maximum 10 répétitions
