Module;Tâche;Compartiment;Avancement %;Échéance;Priorité;Responsable;Notes
Cadrage;Cadrage et analyse des besoins;Livré;100;28/08/2026;Haute;Projet;Objectifs, périmètre, règles de gestion
Cadrage;Choix de l'architecture (Next.js + Supabase);Livré;100;28/08/2026;Haute;DSI;Application web + base temps réel
Sécurité;Authentification et gestion des 3 rôles;Livré;100;29/08/2026;Haute;DSI;Demandeur / Responsable / Administrateur
Demandes;Module demandes d'achat (assistant 6 étapes);Livré;100;29/08/2026;Haute;DSI;Création, brouillon, reprise
Demandes;Numérotation automatique ACH-AAAA-NNNNN;Livré;100;29/08/2026;Haute;DSI;Compteur partagé, sans doublon
Demandes;Rendre le coût présumé facultatif;Livré;100;01/09/2026;Moyenne;DSI;Demande créable sans montant
Fournisseurs;Catalogue fournisseurs (création, modification, statut);Livré;100;30/08/2026;Haute;DSI;Nom, références, emplacement, WhatsApp, site
Fournisseurs;Import des fournisseurs (Excel, CSV, JSON);Livré;100;30/08/2026;Haute;DSI;Aperçu, lignes invalides signalées
Fournisseurs;Export des fournisseurs et modèles de fichiers;Livré;100;30/08/2026;Moyenne;DSI;Excel, JSON, CSV
Négociation;Grille de négociation article × fournisseur;Livré;100;31/08/2026;Haute;DSI;Un prix par article et par fournisseur
Négociation;Rendre les prix facultatifs (seuil paramétrable);Livré;100;02/09/2026;Haute;DSI;Seuil 0 = facultatif
Négociation;Coût total rendu (remise, TVA, frais de livraison);Livré;100;31/08/2026;Haute;DSI;Comparaison fiable des offres
Comparaison;Score multicritère /100 et classement;Livré;100;31/08/2026;Moyenne;DSI;Prix, délai, garantie, paiement
Comparaison;Tableau croisé et meilleurs prix surlignés;Livré;100;31/08/2026;Haute;DSI;Lecture seule, étape non bloquante
Validation;Circuit de validation (approuver / refuser / modifier);Livré;100;01/09/2026;Haute;DSI;Motif obligatoire si refus
Commandes;Bons de commande BC-AAAA-NNNNN et confirmation;Livré;100;01/09/2026;Haute;DSI;Lignes aux prix négociés
Commandes;Commande et impression sans fournisseur ni prix;Livré;100;02/09/2026;Moyenne;DSI;Cas des consultations en cours
Réceptions;Réceptions complètes et partielles;Livré;100;01/09/2026;Haute;DSI;Clôture automatique si complète
Administration;Suppressions (demande, commande, réception, utilisateur);Livré;100;01/09/2026;Haute;DSI;Cascades et garde-fous
Alertes;Notifications et relances automatiques;Livré;100;02/09/2026;Haute;DSI;Validation et réception, anti-doublon
Alertes;Bandeau d'alertes et pastilles sur le tableau de bord;Livré;100;02/09/2026;Moyenne;DSI;Vue immédiate des retards
Alertes;Sons de notification (3 niveaux) et volume réglable;Livré;100;02/09/2026;Moyenne;DSI;Avec son de secours si bloqué
Alertes;Alarme répétée jusqu'à lecture du message;Livré;100;02/09/2026;Moyenne;DSI;15 s, maximum 10 répétitions
Alertes;Notifications du navigateur (bulles système);Livré;100;02/09/2026;Moyenne;DSI;Actives onglet en arrière-plan
Alertes;Alerte visuelle (onglet clignotant, pastille pulsante);Livré;100;02/09/2026;Moyenne;DSI;Secours si le son est coupé
Documents;Impression fiche de demande et bon de commande;Livré;100;02/09/2026;Haute;DSI;Colonnes de prix vides à compléter
Documents;Exports PDF (demandes, commandes, réceptions);Livré;100;01/09/2026;Haute;DSI;jsPDF, repli impression
Documents;Exports Excel et CSV;Livré;100;01/09/2026;Moyenne;DSI;Comparaison incluse
Identité;Intégration du logo et charte violet / bleu nuit;Livré;100;02/09/2026;Moyenne;Direction;Site, impressions, PDF, favicon
Données;Synchronisation Supabase en temps réel;Livré;100;02/09/2026;Haute;DSI;Partage entre tous les postes
Données;Sécurisation anti-écrasement entre appareils;Livré;100;02/09/2026;Haute;DSI;Le serveur fait foi au démarrage
Pilotage;Tableau de bord graphique (3 graphiques);Livré;100;02/09/2026;Moyenne;DSI;Achats 12 mois, répartition, top 5
Qualité;Suite de tests automatisés (197 contrôles);Livré;100;02/09/2026;Haute;DSI;13 séries, exécutées avant publication
Déploiement;Déploiement continu GitHub vers Vercel;Livré;100;02/09/2026;Haute;DSI;Une commande : scripts/publish.mjs
Documentation;Cahier des charges et synthèse direction;Livré;100;02/09/2026;Moyenne;DSI;PDF et Word, 14 et 4 pages
Qualité;Recette utilisateur et ajustements;En cours;60;05/09/2026;Haute;Direction;Retours des utilisateurs finaux
Sécurité;Durcissement des politiques d'accès (RLS);En cours;30;09/09/2026;Haute;DSI;Restreindre par rôle avant généralisation
Sécurité;Journal d'audit des actions sensibles;En cours;15;12/09/2026;Haute;DSI;Qui a supprimé/modifié quoi et quand
Sécurité;Authentification sécurisée (mots de passe hachés);Planifié;0;19/09/2026;Haute;DSI;Migration vers Supabase Auth
Alertes;Notifications par e-mail;Planifié;0;26/09/2026;Moyenne;DSI;Réduction des délais de réponse
Pilotage;Budgets par service avec alerte de dépassement;Planifié;0;10/10/2026;Moyenne;Direction;Pilotage financier
Fournisseurs;Portail fournisseur (saisie directe des offres);Planifié;0;24/10/2026;Basse;DSI;Productivité sur les consultations
Logistique;Gestion des stocks liée aux réceptions;Planifié;0;31/10/2026;Basse;Logistique;À cadrer
Sécurité;Authentification unique (SSO);Planifié;0;31/10/2026;Basse;DSI;Confort utilisateur
